moo,,БУМАГА НА 01/06/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,ФАКТУРА,НАТУРАЛ,МЕТАЛЛ,СОФТ,СПИСАТЬ,КОНВЕРТ
ДИЗАЙНЕРСКАЯ БУМАГА,,,,,,,,,,,"остаток, лист",,,,,,
ПОСТАВЩИК,ПРИХОД,НАИМЕНОВАНИЕ,ФОРМАТ,КОЛ-ВО,,,,ЦЕНА с ндс,"ЦВЕТ, ФАКТУРА",ПЛОТНОСТЬ,01/06/26,,,,,,
АртПапера,ТН2138183 от 10.12.25г.,"Бумага дизайнерская FlaxPaper CREAM (кремовый), 300г/м2, Китай",лист SRA3,29,"1,25","1,80","2,25","2,70",ЛЕН КРЕМОВЫЙ,300,,,,,,,
Бумажная компания,ТТН4081874 от 15.12.25г.,"Бумага дизайнерская Card Classical Color whate, белый, 120г/м2, Китай",лист SRA3,40,"0,58","1,55","0,90","1,08",ХЛОПОК БЕЛЫЙ,120,,,,,,,
Бумажная компания,ТТН4081874 от 15.12.25г.,"Бумага дизайнерская Card Classical Color natural, натуральный, 120г/м2, Китай",лист SRA3,40,"0,58","1,55","0,90","1,08",ХЛОПОК НАТУРАЛЬНЫЙ,120,,,,,,,
Бумажная компания,ТТН4081874 от 15.12.25г.,"Бумага дизайнерская Card Classical Color natural, натуральный, 260г/м2, Китай",лист SRA3,40,"1,27","1,77","2,25","2,70",ХЛОПОК НАТУРАЛЬНЫЙ,260,,,,,,,
Бумажная компания,ТТН4081874 от 15.12.25г.,"Бумага дизайнерская Card Classical Color cream, кремовый, 120г/м2, Китай",лист SRA3,40,"0,58","1,55","0,90","1,08",ХЛОПОК КРЕМОВЫЙ,120,,,,,,,
Бумажная компания,ТТН4081874 от 15.12.25г.,"Бумага дизайнерская Card Classical Color cream, кремовый, 260г/м2, Китай",лист SRA3,9,"1,27","1,77","2,25","2,70",ХЛОПОК КРЕМОВЫЙ,260,,,,,,,
АртПапера,ТН2138055 от 02.12.25г.,"Бумага дизайнерская Elegant Cotton paper Light Grey (серый), 320г/м2, Китай",лист SRA3,20,"1,75","1,43","2,50","3,00",ХЛОПОК СЕРАЯ,320,,,,,,,
АртПапера,ТН2138055 от 02.12.25г.,"Бумага дизайнерская Elegant Cotton paper orange (оранжевый), 320г/м2, Китай",лист SRA3,20,"1,75","1,43","2,50","3,00",ХЛОПОК ОРАНЖЕВАЯ,320,,,,,,,
2026,,,,,,,,,,,,,,,,,
АртПапера,ТН1541588 от 16.02.26г.,"Бумага дизайнерская FlaxPaper natural (натурально-белый), 300г/м2, Китай",лист SRA3,80,"1,00","2,25","2,25","2,70",ЛЕН НАТУРАЛЬНЫЙ,300,,,,,,,
АртПапера,ТН1541588 от 16.02.26г.,"Бумага дизайнерская FlaxPaper CREAM (кремовый), 300г/м2, Китай",лист SRA3,40,"1,00","2,25","2,25","2,70",ЛЕН КРЕМОВЫЙ,300,,,,,,,
АртПапера,ТН1541651 от 23.02.26г.,"Бумага дизайнерская Blanket 2/S Bright White (натуральный белый), 280г/м2, Китай",лист SRA3,12,"1,00","2,25","2,25","2,70",НАТУРАЛЬНАЯ МОЛОТОК,280,,,,,,,
ПЕРЛАМУТР-МЕТАЛЛИК,,,,,,,,,,,,,,,,,
Бумажная компания,ТТН2161848 от 15.02.23г.,"Бумага дизайнерская LUNAR Mini Лиловый, 240г/м2, Италия",лист SRA3,10,,,,,перламутр / металлик,240,СПИСАТЬ,,,,,,
Бумажная компания,ТТН2161848 от 15.02.23г.,"Бумага STARDREAM CITRINE, золотой мрамор, 285г/м2, Турция",лист SRA3,5,,,,,перламутр / металлик,240,СПИСАТЬ,,,,,,
Люмитекс,ТТН1470870 от 27.09.24г.,"Бумага Majestic Pariour Pink, 290г/м2, Италия",лист SRA3,13,"1,53","1,96","3,00","3,60",ЛИЛОВЫЙ ПЕРЛАМУТР,290,?,,,,,,
